ID,Title,Genre,Community,Core,PageRank,InDegree,OutDegree,TotalDegree
9279,Dark Shadows DVD Collection 2,Horror,7,3,0.0021802228660202996,3,3,6
10443,Yukmouth Presents: United Ghettos of America,Music Video & Concerts,8,2,0.0021802228660202996,2,2,4
18824,10 Things I Hate About You,Comedy,8,2,0.0021802228660202996,2,2,4
18825,Cinderella (Wide World of Disney),Kids & Family,8,2,0.0021802228660202996,2,2,4
11427,The Shipment,Comedy,9,3,0.0021802228660202996,3,3,6
11428,Psychomania,Horror,9,3,0.0021802228660202996,3,3,6
11429,Derailed,Action & Adventure,9,3,0.0021802228660202996,3,3,6
11430,Wishmaster 4: The Prophecy Fulfilled,Horror,9,3,0.0021802228660202996,3,3,6
12064,Fred Hammond & Radical For Christ - Live,Music Video & Concerts,10,1,0.00032703346467075566,0,1,1
176,"Avengers '67 - Set 1, Vols. 1 & 2",Television,-1,1,0.0006050119142322923,1,0,1
12511,Keeping the Faith/While You Were Sleeping,Comedy,11,2,0.0025745184864951424,3,3,6
12512,Rodgers & Hammerstein's South Pacific,Musicals & Performing Arts,11,2,0.0025745184864951424,3,3,6
12514,Enemy of the State/Crimson Tide,Action & Adventure,11,2,0.0017859272455454586,2,2,4
12515,Queen's Competition,Music Video & Concerts,11,2,0.0017859272455454586,2,2,4
12610,Lost Worlds - Life in the Balance (Large Format),Documentary,12,1,0.00032703346467075566,0,1,1
10080,Regeneration,Classics,-1,2,0.00124324430089129,3,0,3
12617,Burial Ground - Night of Terror,Horror,13,2,0.000894255282350698,2,2,4
12615,My Louisiana Sky,Drama,-1,2,0.0015297565913653234,4,0,4
15740,Jeff Barry & Friends - Chapel of Love,Music Video & Concerts,13,2,0.0007070919712703369,1,2,3
12618,Red Shoe Diaries - Forbidden Zone,Drama,13,2,0.000627547561378785,1,2,3
12646,Transformers Volume 3 Season 1,Kids & Family,14,2,0.0021802228660202996,2,2,4
12647,Transformers - Season 1 (Vol. 2),Kids & Family,14,2,0.0021802228660202996,2,2,4
12648,Transformers Volume 1 Season 1,Kids & Family,14,2,0.0021802228660202996,2,2,4
18234,Wind,Action & Adventure,15,2,0.0021802228660202996,2,2,4
22153,The Little Mermaid (Good Times Home Video),Kids & Family,15,2,0.0021802228660202996,2,2,4
22154,Jungle Book,Kids & Family,15,2,0.0021802228660202996,2,2,4
18237,Star Trek - The Motion Picture (The Director's Edition),Science Fiction & Fantasy,16,2,0.00032703346467075566,0,2,2
18903,Heavens Above!,Comedy,16,2,0.003106817566695073,2,1,3
18905,I'm All Right Jack,Comedy,16,2,0.003106817566695073,2,1,3
18966,Bellydance Fitness for Weight Loss featuring Rania: Hip Drop Hip Hop,Sports,17,1,0.0021802228660202996,1,1,2
28776,Last House on Dead End Street,Horror,17,1,0.0021802228660202996,1,1,2
20172,Mickey's House of Villains,Kids & Family,18,2,0.0005687538608725887,1,2,3
5357,Scent of a Woman,Drama,-1,2,0.0008104742570744219,2,0,2
33416,In a Class of His Own,Drama,18,2,0.0005687538608725887,1,2,3
20180,Nixon - Collector's Edition,Drama,19,3,0.0007299007916738108,2,2,4
20178,Baby Einstein - Baby Newton - Discovering Shapes,Kids & Family,-1,3,0.001040108635489687,3,0,3
27739,Trick Or Treat,Horror,19,3,0.0007299007916738108,2,2,4
20181,"The Lone Ranger Classic Western Double Feature - Hi-Yo, Silver! / Legend of the Lone Ranger",Classics,19,3,0.00032703346467075566,0,3,3
21351,Diva,Mystery & Suspense,20,2,0.0021802228660202996,2,2,4
21352,Timerider,Science Fiction & Fantasy,20,2,0.0021802228660202996,2,2,4
21353,The Unbelievable Truth,Comedy,20,2,0.0021802228660202996,2,2,4
22274,Rope,Mystery & Suspense,21,1,0.0021802228660202996,1,1,2
22276,Family Plot,Mystery & Suspense,21,1,0.0021802228660202996,1,1,2
24457,Mississippi Masala,Drama,22,1,0.0021802228660202996,1,1,2
26026,The End of the Affair,Drama,22,1,0.0021802228660202996,1,1,2
24804,Hands Up/Girl Talk,Music Video & Concerts,23,1,0.0021802228660202996,1,1,2
28010,Fascination,Horror,23,1,0.0021802228660202996,1,1,2
33209,Sukhavati - Place of Bliss: A Mythic Journey with Joseph Campbell,Religion & Spirituality,24,1,0.0021802228660202996,1,1,2
33211,Drift,Drama,24,1,0.0021802228660202996,1,1,2
34279,"South Park, Vol. 6",Comedy,25,3,0.002863741326246978,3,1,4
34281,"The Adam Sandler Collection (Billy Madison, Bulletproof, & Happy Gilmore)",Comedy,25,3,0.003102972775302625,2,3,5
58754,Champion / Body and Soul,Drama,25,3,0.0012062090662091284,1,3,4
58755,Banned From Television II Uncensored!,Television,25,3,0.001547968296322468,2,1,3
34841,Andrew Lloyd Webber - Masterpiece (Live in Beijing) With CD,Music Video & Concerts,26,2,0.002549073535164151,3,2,5
34842,Ballistic - Ecks vs. Sever,Action & Adventure,26,2,0.002212354697453171,2,2,4
34843,El Tri - Sinfonico,Music Video & Concerts,26,2,0.002830464765639678,3,3,6
34845,VeggieTales - The Toy That Saved Christmas,Kids & Family,26,2,0.0011289984658241997,1,2,3
38977,"The Honeymooners - The Lost Episodes, Vol. 5",Television,27,1,0.0021802228660202996,1,1,2
38978,"The Honeymooners - The Lost Episodes, Vol. 6",Television,27,1,0.0021802228660202996,1,1,2
44837,Aquaria - The Complete Aquarium Collection,General,28,1,0.0021802228660202996,1,1,2
67530,Terry Pratchett's Discworld - Soul Music,Science Fiction & Fantasy,28,1,0.0021802228660202996,1,1,2
47753,Rich & Strange/ The Sorcerer's Apprentice,Mystery & Suspense,29,1,0.0021802228660202996,1,1,2
79765,10 Violent Women,Action & Adventure,29,1,0.0021802228660202996,1,1,2
48094,The Rose,Drama,30,1,0.0036308602750292555,2,1,3
82797,Â¿Por quÃ© lo llaman amor cuando quieren decir sexo?,Comedy,30,1,0.003413264608061765,1,1,2
50475,Fail-safe (Special Edition),Drama,31,2,0.0028304647656396784,2,2,4
50476,Thomas and the Magic Railroad,Kids & Family,31,2,0.0015299809664009222,1,2,3
58974,Vietnam:We Were Heroes,Documentary,31,2,0.0021802228660203,2,1,3
52053,Hope Floats,Comedy,32,1,0.00032703346467075566,0,1,1
6459,Barney's Rhyme Time Rhythm,Kids & Family,-1,1,0.0006050119142322923,1,0,1
56837,Colors,Drama,33,2,0.0021802228660202996,2,2,4
56838,Clambake,Musicals & Performing Arts,33,2,0.0021802228660202996,2,2,4
56839,Heart of Dixie,Drama,33,2,0.0021802228660202996,2,2,4
57656,Crystal Lewis - More Live,Music Video & Concerts,34,1,0.0021802228660202996,1,1,2
59891,Clue,Comedy,34,1,0.0021802228660202996,1,1,2
58967,The Lost Command,Drama,35,3,0.0007815894361912692,2,3,5
58968,"Verdi - Requiem / Angela Gheorghiu, Roberto Alagna, Daniela Barcellona, Julian Konstantinov, Claudio Abbado, Berlin Philharmonic",Musicals & Performing Arts,-1,3,0.0010030397823991585,3,0,3
58969,Vandread - Pressure,Animation,35,3,0.000703887561087061,2,2,4
58970,Gate Keepers - Discovery! (Vol. 6),Animation,35,3,0.0005484838108786452,1,3,4
59459,One Flew Over the Cuckoo's Nest (Two-Disc Special Edition),Comedy,36,1,0.0021802228660202996,1,1,2
122645,Berlin Philharmonic's New Year's Gala 1997,Music Video & Concerts,36,1,0.0021802228660202996,1,1,2
60126,Lizzy Borden: The Murderess Metal Road Show,Music Video & Concerts,37,2,0.0005687538608725887,1,2,3
64722,Dragon Ball Z:Perfect Cell-Perfection,Kids & Family,37,2,0.0005687538608725887,1,2,3
64723,Dragon Ball Z:Perfect Cell-Unstoppable,Kids & Family,-1,2,0.0008104742570744219,2,0,2
63633,Beautiful Thing,Comedy,38,2,0.0021802228660202996,2,2,4
91014,"Prokofiev - Symphony No. 1 ""Classical"" & Violin Concerto in D / Svetlanov, Repin, Russian Federation State Symphony Orchestra",Musicals & Performing Arts,38,2,0.0021802228660202996,2,2,4
91015,Journey Into Amazing Caves (Large Format),Documentary,38,2,0.0021802228660202996,2,2,4
67138,D-Day: Code Name Overlord,Documentary,39,2,0.0021802228660202996,2,2,4
83102,The Pledge,Mystery & Suspense,39,2,0.0021802228660202996,2,2,4
83104,Proof of Life,Drama,39,2,0.0021802228660202996,2,2,4
67533,Lexx Series 2 Volume 4,Science Fiction & Fantasy,40,1,0.0021802228660202996,1,1,2
67534,Return to Waterloo/Come Dancing,Musicals & Performing Arts,40,1,0.0021802228660202996,1,1,2
69498,Gladiator Challenge: Showdown At Soboda,Sports,41,1,0.00032703346467075566,0,1,1
57140,Tchaikovsky - Symphony 4,Musicals & Performing Arts,-1,1,0.0006050119142322923,1,0,1
76200,Shriek of the Mutilated,Horror,42,1,0.0021802228660202996,1,1,2
105975,From Mao to Mozart - Isaac Stern in China,Musicals & Performing Arts,42,1,0.0021802228660202996,1,1,2
79572,The Siege,Action & Adventure,43,1,0.0021802228660202996,1,1,2
79573,The Thin Red Line - DTS,Military & War,43,1,0.0021802228660202996,1,1,2
80642,Mommy & Me - Splish Splash,Kids & Family,44,2,0.0021802228660202996,2,2,4
80643,Mommy & Me - Lullaby & Goodnight,Kids & Family,44,2,0.0021802228660202996,2,2,4
80644,Mommy & Me - Fun & Friends,Kids & Family,44,2,0.0021802228660202996,2,2,4
81590,Frank Herbert's Dune (TV Miniseries),Science Fiction & Fantasy,13,1,0.00032703346467075566,0,1,1
82587,Project A-Ko (Collector's Series),Animation,45,3,0.0021802228660202996,3,3,6
82588,The Legend of Himiko - Sacred Fire,Science Fiction & Fantasy,45,3,0.0021802228660202996,3,3,6
82589,Geobreeders Breakthrough,Science Fiction & Fantasy,45,3,0.0021802228660202996,3,3,6
82590,"Now and Then, Here and There - Conflict & Chaos (Vol. 3)",Animation,45,3,0.0021802228660202996,3,3,6
82596,Maetel Legend/Harlock Saga,Animation,46,2,0.0028304647656396784,2,2,4
82597,The 2002 Olympic Games - Olympic Highlights,Sports,46,2,0.0021802228660203,2,1,3
82599,Martial Arts Pack - Ayane's High Kick/Grappler Backi,Animation,46,2,0.0015299809664009222,1,2,3
82789,Pokemon Johto Journeys - Crimson Warrior (Vol. 46),Kids & Family,47,2,0.0025745184864951424,3,3,6
82790,Flying Guillotine,Action & Adventure,47,2,0.0017859272455454586,2,2,4
82791,The Kid With the Golden Arm,Action & Adventure,47,2,0.0025745184864951424,3,3,6
82792,Shaolin Dolemite Collection - Buddha Assassinator,Action & Adventure,47,2,0.0017859272455454586,2,2,4
83105,The Chinese Connection,Action & Adventure,48,1,0.0021802228660202996,1,1,2
94252,Love on a Diet,Action & Adventure,48,1,0.0021802228660202996,1,1,2
83639,Penthouse: Pet of the Year 2002,Adult,49,2,0.0021802228660202996,2,2,4
83640,Atomic War Bride/This Is Not a Test,Science Fiction & Fantasy,49,2,0.0021802228660202996,2,2,4
83642,Hollywood at Your Feet - The Story of the Chinese Theatre Footprints,Documentary,49,2,0.0021802228660202996,2,2,4
83870,American Psycho II: All American Girl,Mystery & Suspense,50,2,0.0021802228660202996,2,2,4
83871,The Night Larry Kramer Kissed Me,Drama,50,2,0.0021802228660202996,2,2,4
83872,Metrosexuality,Comedy,50,2,0.0021802228660202996,2,2,4
84393,Dark Shadows DVD Collection 3,Horror,51,2,0.0021802228660202996,2,2,4
84394,Hookers at the Point,Documentary,51,2,0.0021802228660202996,2,2,4
84395,Grateful Dead - View from the Vault III,Music Video & Concerts,51,2,0.0021802228660202996,2,2,4
84416,Jason Goes to Hell - The Final Friday,Horror,52,1,0.00032703346467075566,0,1,1
86113,The Navigator,Comedy,52,2,0.0029280010631482696,3,2,5
86114,Mr. Jones,Drama,52,2,0.002732928468131089,2,2,4
86115,Our Hospitality/Sherlock Jr.,Classics,52,2,0.002732928468131089,2,2,4
87453,Laughing Out Loud: America's Funniest Comedians - Vols. 1-5 Boxed Set,Comedy,53,1,0.0021802228660202996,1,1,2
87455,The Tormented/Lady Frankenstein,Horror,53,1,0.0021802228660202996,1,1,2
89493,Tokyo Olympiad - Criterion Collection,Sports,54,2,0.0021802228660203,2,1,3
89494,Yu Yu Hakusho - Dark Tournament (Uncut),Animation,54,2,0.0028304647656396784,2,2,4
89495,Hearts and Minds - Criterion Collection,Military & War,54,2,0.0015299809664009222,1,2,3
91024,An Evening with Nat King Cole,Music Video & Concerts,55,2,0.0021802228660202996,2,2,4
91025,Juice Newton - Every Road Leads Back to You,Music Video & Concerts,55,2,0.0021802228660202996,2,2,4
91026,National Parks of Alaska,Travel,55,2,0.0021802228660202996,2,2,4
94311,Con Games,Mystery & Suspense,57,1,0.0023175641821088677,2,2,4
150648,Don't Leave Me Alone Daisy Collection,Animation,57,2,0.003089409238799569,3,3,6
150649,"Beethoven - Missa Solemnis / Gielen, Bryn-Julson, Lipovsek, Sudwestfunk Symphony Orchestra",Musicals & Performing Arts,57,1,0.0013119986458324617,1,1,2
95718,Sunshine,Drama,58,2,0.0013112097224450149,2,3,5
95719,Not of This Earth,Horror,58,2,0.0017022728009441716,3,3,6
95720,Body Chemistry 2 - The Voice of a Stranger,Mystery & Suspense,58,2,0.001180855362945296,2,2,4
95721,Body Chemistry 3 - Point of Seduction,Mystery & Suspense,58,2,0.001180855362945296,2,2,4
95722,Ghost of Spoon River,Mystery & Suspense,-1,1,0.0008288980299284673,1,0,1
99681,Firm Parts Upper Body/Standing Legs,Sports,59,1,0.0021802228660202996,1,1,2
107655,Ransom,Mystery & Suspense,59,1,0.0021802228660202996,1,1,2
100426,WWE - Action!,Sports,60,2,0.0021802228660202996,2,2,4
100427,Beyond Justice,Action & Adventure,60,2,0.0021802228660202996,2,2,4
100428,WWE Summerslam 2001,Sports,60,2,0.0021802228660202996,2,2,4
103732,The Magnificent Ambersons,Drama,61,3,0.002797952666470149,3,1,4
103734,The Men Who Killed Kennedy,Documentary,61,3,0.0036324297667931233,3,2,5
103733,"Secret Agent AKA Danger Man, Set 2",Television,61,3,0.00032703346467075566,0,3,3
103735,"Space 1999, Set 5",Science Fiction & Fantasy,61,3,0.0019634755661471744,2,2,4
106095,The Adventures of Sherlock Holmes Volume 3 (The Blue Carbuncle/The Copper Beeches),Mystery & Suspense,62,1,0.0021802228660202996,1,1,2
145232,No Dessert Dad 'Til You Mow The Lawn,Comedy,62,1,0.0021802228660202996,1,1,2
106110,The Gaucho,Classics,30,1,0.0009471811239788353,1,2,3
123122,LightWave 3D 7 : Motion Graph Modifiers & Expressions - Class on Demand Video Training Tutorial DVD,General,30,1,0.0007295854570113455,1,1,2
106666,Shadow of Chinatown [Serial],Drama,64,1,0.0021802228660202996,1,1,2
106670,Playboy - Red Hot Redheads,Adult,64,1,0.0021802228660202996,1,1,2
108097,James Dean Story,Documentary,65,2,0.0021802228660202996,2,2,4
108098,Pot O' Gold,Comedy,65,2,0.0021802228660202996,2,2,4
108099,Death of a Prophet,Drama,65,2,0.0021802228660202996,2,2,4
109198,Jack the Ripper,Mystery & Suspense,66,3,0.002955380520539277,4,3,7
109199,"Rockthology Presents: Hard 'N' Heavy, Vol. 2",Music Video & Concerts,66,3,0.002661570764948616,4,2,6
109200,Blind Date,Mystery & Suspense,66,3,0.0028831783261755576,3,3,6
109202,.com for Murder,Mystery & Suspense,66,3,0.002073951253767293,3,3,6
109209,The Mystery of Picasso,Art & International,67,2,0.0028304647656396784,2,2,4
109210,The Wide Blue Road,Drama,67,2,0.0021802228660203,2,1,3
109211,Hilary and Jackie,Drama,67,2,0.0015299809664009222,1,2,3
109213,The Last Days,Documentary,68,1,0.0021802228660202996,1,1,2
109214,Xena - Series Finale,Science Fiction & Fantasy,68,1,0.0021802228660202996,1,1,2
109815,Untamed Heart,Drama,69,3,0.002420896815484458,3,3,6
109816,Black Caesar,Action & Adventure,69,3,0.0016988749670919844,2,3,5
109817,"Black Mama, White Mama",Action & Adventure,69,3,0.002420896815484458,3,3,6
109819,Love Field,Drama,69,3,0.0021802228660203,3,2,5
112864,"Girls Gone Wild - All Real, Vol. 1",Drama,70,3,0.0007546926403629646,2,3,5
134126,The Cabinet of Dr. Caligari,Classics,70,3,0.0007546926403629646,2,3,5
134127,German Horror Classics (Nosferatu (1922) / The Cabinet of Dr. Caligari / Waxworks / The Golem),Classics,-1,3,0.0009685222282090691,3,0,3
134129,The Golem,Horror,70,3,0.0007546926403629646,2,3,5
113710,Black Christmas  [IMPORT],Horror,71,1,0.0021802228660202996,1,1,2
142854,Throw Momma from the Train,Comedy,71,1,0.0021802228660202996,1,1,2
114153,Heaven,Documentary,72,1,0.003180960252297892,2,1,3
114155,The First Nudie Musical (Special Edition),Comedy,72,1,0.0030326748810922542,1,1,2
114156,Alabama - Greatest Video Hits,Music Video & Concerts,72,1,0.00032703346467075566,0,1,1
114187,Autumn Marathon,Comedy,73,3,0.0031429186638769315,5,1,6
114191,Listen to Britain and Other Films by Humphrey Jennings,Documentary,73,3,0.00453070091074559,5,3,8
114189,Giuseppe Sinopoli - Dreampaths of Music - From the Rhine to the Nile (Beethoven Symphony No. 7 / Schumann Symphony No. 3 / Wagner Prelude to Parsifal),Musicals & Performing Arts,73,3,0.0010209245881050851,1,3,4
143564,Jeremiah Johnson,Classics,73,3,0.002449027540442602,4,3,7
114190,The Eagle,Action & Adventure,73,3,0.0016107320282808329,1,3,4
114376,The Kennel Murder Case,Mystery & Suspense,74,3,0.002420896815484458,3,3,6
114377,Super Atragon: The Motion Picture,Action & Adventure,74,3,0.002420896815484458,3,3,6
114378,"Sailor Moon - The Return of the Doom Tree (TV Show, Vol. 9)",Animation,74,3,0.0016988749670919844,2,3,5
114379,"Sailor Moon - The Trouble With Rini (TV Show, Vol. 10)",Animation,74,3,0.0021802228660203,3,2,5
116473,Penthouse: Studio Girl,Adult,75,2,0.0021802228660202996,2,2,4
116475,Phil Collins - Live and Loose in Paris,Music Video & Concerts,75,2,0.0021802228660202996,2,2,4
116476,Sinderella and the Golden Bra / Goldilocks and the Three Bares (Something Weird),Comedy,75,2,0.0021802228660202996,2,2,4
117841,Attraction,Drama,76,3,0.00032703346467075566,0,3,3
117842,Requiem for Murder,Mystery & Suspense,76,3,0.002797952666470149,3,2,5
117843,Skipped Parts,Comedy,76,3,0.002797952666470149,3,2,5
117845,Blood Surf,Action & Adventure,76,3,0.002797952666470149,3,2,5
118133,Dirty Pictures,Drama,77,2,0.003316595990702929,3,2,5
151157,"Chaplin's Essanay Comedies, Vol. 03",Comedy,77,2,0.002340751402494205,2,1,3
151158,"Chaplin's Essanay Comedies, Vol. 02",Comedy,77,2,0.0021323459354074766,2,3,5
120424,WWE Vengeance 2001 - One Undisputed Champion,Sports,78,2,0.0028304647656396784,2,2,4
120425,WWE Rebellion 2001,Sports,78,2,0.0015299809664009222,1,2,3
120426,WWE No Way Out 2002,Sports,78,2,0.0021802228660203,2,1,3
123271,Fear and Loathing in Las Vegas,Comedy,79,2,0.0021802228660202996,2,2,4
130952,Memento (Limited Edition) / Snatch (Special Edition),Action & Adventure,79,2,0.0021802228660202996,2,2,4
130953,Buying the Cow/Love Stinks,Comedy,79,2,0.0021802228660202996,2,2,4
132749,Hold the Dream,Drama,80,2,0.0021802228660202996,2,2,4
132750,To Be the Best,Drama,80,2,0.0021802228660202996,2,2,4
132752,Gung Ho!,Military & War,80,2,0.0021802228660202996,2,2,4
132753,Maniac,Horror,81,3,0.0020898919982147235,3,3,6
132754,The Blue Angel,Drama,81,3,0.0038049282984163988,4,3,7
132755,Miyuki-Chan in Wonderland,Animation,81,3,0.0020898919982147235,3,3,6
132756,"Sailor Moon - Sailor Scouts to the Rescue (TV Show, Vol. 2)",Animation,81,3,0.0025893685705848956,3,1,4
132757,Princess Nine - Triple Play (Vol. 3),Animation,81,3,0.00032703346467075566,0,3,3
133800,Jay Jay the Jet Plane - Liking Yourself Inside and Out,Kids & Family,82,1,0.0021802228660202996,1,1,2
133801,Dead Reckoning,Mystery & Suspense,82,1,0.0021802228660202996,1,1,2
134383,Dan Fogelberg Live - Greetings From the West,Music Video & Concerts,83,2,0.0021802228660203,2,1,3
134385,Dream a Dream: Charlotte Church in the Holy Land,Music Video & Concerts,83,2,0.0028304647656396784,2,2,4
134384,Keb' Mo': Sessions at West 54th - Recorded Live in New York,Music Video & Concerts,83,2,0.0015299809664009222,1,2,3
134395,The Last of the Blonde Bombshells,Comedy,84,2,0.0021802228660203,2,1,3
134396,American Buffalo,Drama,84,2,0.0028304647656396784,2,2,4
134397,Alice's Restaurant,Comedy,84,2,0.0015299809664009222,1,2,3
134446,The Prisoner - Set 4: A Change of Mind/Hammer Into Anvil/Do Not Forsake Me Oh My Darling/Living in Harmony,Television,85,3,0.0021802228660202996,3,3,6
134447,The Prisoner - Set 3:  The Schizoid Man/Many Happy Returns/It's Your Funeral,Television,85,3,0.0021802228660202996,3,3,6
134448,The Complete Workout: All-in-One Trainer,Sports,85,3,0.0021802228660202996,3,3,6
134449,Jeeves & Wooster - The Complete First Season,Comedy,85,3,0.0021802228660202996,3,3,6
135687,"Tai Chi - 6 Forms, 6 Easy Lessons",Sports,86,2,0.0021802228660202996,2,2,4
135688,Deepak Chopra: Seven Spiritual Laws/Crystal Cave,Religion & Spirituality,86,2,0.0021802228660202996,2,2,4
135689,Deepak Chopra-The Essential DVD Collection,General,86,2,0.0021802228660202996,2,2,4
139066,Raw Heat,Mystery & Suspense,87,1,0.00032703346467075566,0,1,1
90049,Charlotte's Web 2 - Wilbur's Great Adventure,Kids & Family,-1,1,0.0006050119142322923,1,0,1
141183,The Flying Deuces,Comedy,88,2,0.0021802228660202996,2,2,4
150641,The Straight Story,Drama,88,2,0.0021802228660202996,2,2,4
150642,No Code of Conduct,Mystery & Suspense,88,2,0.0021802228660202996,2,2,4
144901,Dragon Ball Z - Imperfect Cell - Discovery,Kids & Family,89,1,0.00032703346467075566,0,1,1
144899,Verdi - Luisa Miller / Jacques Lassalle Â· Maurizio Arena Â· June Anderson Â· OpÃ©ra de Lyon,Musicals & Performing Arts,-1,1,0.0006050119142322923,1,0,1
146661,"The Abbott & Costello Show, Vol. 1 (1952-53)",Comedy,90,2,0.0021802228660203,2,1,3
163838,Iron Maiden - Rock in Rio,Music Video & Concerts,90,2,0.0028304647656396784,2,2,4
182969,Mr. Smith Goes to Washington,Drama,57,2,0.002091071131680301,2,2,4
182970,Born Yesterday,Comedy,57,2,0.002091071131680301,2,2,4
195792,MTV20 Collection,Music Video & Concerts,77,2,0.0009311981354765901,1,2,3
151436,Arachnid,Horror,91,3,0.002420896815484458,3,3,6
151437,Elvis - The Missing Years,Music Video & Concerts,91,3,0.0016988749670919844,2,3,5
151438,"Through the Years of Hip Hop, Vol. 1 - Graffiti",Music Video & Concerts,91,3,0.002420896815484458,3,3,6
151439,Slipknot: Behind The Mask - Unauthorized,Music Video & Concerts,91,3,0.0021802228660203,3,2,5
151460,Sooner or Later,Drama,92,1,0.0021802228660202996,1,1,2
151461,Go for Broke!,Action & Adventure,92,1,0.0021802228660202996,1,1,2
151875,Penthouse: Euro Girls - Hedonism European Style,Adult,93,2,0.0021802228660203,2,1,3
151877,Ossessione,Drama,93,2,0.0028304647656396784,2,2,4
151876,Country Cuzzins / Midnight Plowboy,Comedy,93,2,0.0015299809664009222,1,2,3
152128,Therese Raquin,Drama,94,2,0.0021802228660203,2,1,3
156752,The Girl with the Hungry Eyes,Horror,94,2,0.0028304647656396784,2,2,4
154069,Starstruck,Mystery & Suspense,95,1,0.0021802228660202996,1,1,2
154070,Tower of Song - An Epic Story of Canada and Its Music,Music Video & Concerts,95,1,0.0021802228660202996,1,1,2
155316,Small Faces - Special Edition EP,Music Video & Concerts,96,1,0.0021802228660202996,1,1,2
180401,Trail of a Serial Killer,Mystery & Suspense,96,1,0.0021802228660202996,1,1,2
159777,Bill and Gloria Gaither and Their Homecoming Friends: God Bless America - Live from Carnegie Hall,Music Video & Concerts,94,2,0.0015299809664009222,1,2,3
158147,Vinyl Dolls,Adult,97,2,0.0021802228660202996,2,2,4
158149,Smothered - The Censorship Struggles of the Smothers Brothers Comedy Hour,Documentary,97,2,0.0021802228660202996,2,2,4
158150,Playboy TV - Night Calls 411,Adult,97,2,0.0021802228660202996,2,2,4
160025,Curse of the Demon / Night of the Demon,Horror,98,2,0.0005687538608725887,1,2,3
121377,Superman Cartoons of Max & Dav,Kids & Family,-1,2,0.0008104742570744219,2,0,2
182994,The Legend of Lobo,Action & Adventure,98,2,0.0005687538608725887,1,2,3
161919,Jamaica Inn,Action & Adventure,99,1,0.0021802228660202996,1,1,2
192777,The Method Pilates - Precision Toning and Sculpting,Sports,99,1,0.0021802228660202996,1,1,2
163839,Duel to the Death,Art & International,90,2,0.0015299809664009222,1,2,3
164058,The James Dean Story,Documentary,100,1,0.0021802228660202996,1,1,2
164059,American Pie (Widescreen Unrated Ultimate Edition),Comedy,100,1,0.0021802228660202996,1,1,2
164928,Unmade Beds,Comedy,101,2,0.0021802228660202996,2,2,4
164930,Road to Bali/My Favorite Brunette,Comedy,101,2,0.0021802228660202996,2,2,4
164932,"Gappa, the Triphibian Monster",Horror,101,2,0.0021802228660202996,2,2,4
166709,Close Encounters of the Third Kind (Two-Disc Collector's Edition),Science Fiction & Fantasy,102,2,0.0005687538608725887,1,2,3
82777,Little Rascals Vols. 11-12,Comedy,-1,2,0.0008104742570744219,2,0,2
171944,Elie Wiesel Goes Home,Documentary,102,2,0.0005687538608725887,1,2,3
167538,The Amy Fisher Story,Drama,103,1,0.0021802228660202996,1,1,2
167539,Four of the Apocalypse,Classics,103,1,0.0021802228660202996,1,1,2
167605,Heart of Glass,Drama,104,3,0.00213012829338288,3,3,6
167606,Tender Mercies,Drama,104,3,0.0026914438333474466,4,3,7
