Community,nNode,nGenre,BestNode_ID,BN_Title,BN_Degree,Members
85,4,3,134449,Jeeves & Wooster - The Complete First Season,6,"134446,134447,134448,134449"
127,4,3,215422,Seven Blood-Stained Orchids,3,"215420,215422,215423,228095"
130,4,3,42132,Breaking the Waves,3,"42132,215493,221019,223911"
144,4,3,239547,Call Me Claus,5,"239545,239546,239547,242693"
146,4,3,240425,Tom and Jerry - Whiskers Away,6,"240422,240423,240424,240425"
157,4,3,256873,Tempest 3000,6,"256871,256873,258064,258065"
45,4,2,82590,"Now and Then, Here and There - Conflict & Chaos (Vol. 3)",6,"82587,82588,82589,82590"
47,4,2,82791,The Kid With the Golden Arm,6,"82789,82790,82791,82792"
69,4,2,109817,"Black Mama, White Mama",6,"109815,109816,109817,109819"
91,4,2,151438,"Through the Years of Hip Hop, Vol. 1 - Graffiti",6,"151436,151437,151438,151439"
113,4,2,183260,Charlotte Church - Prelude: The Best of Charlotte Church,6,"183256,183258,183259,183260"
125,4,2,213140,The Winner Takes It All - The ABBA Story,5,"213140,213141,213142,213143"
137,4,2,226743,Lust for a Vampire,5,"226742,226743,226744,226745"
152,4,2,250585,Where the Truth Lies,6,"247207,247208,247210,250585"
8,3,3,18825,Cinderella (Wide World of Disney),4,"10443,18824,18825"
20,3,3,21353,The Unbelievable Truth,4,"21351,21352,21353"
31,3,3,50475,Fail-safe (Special Edition),4,"50475,50476,58974"
38,3,3,91015,Journey Into Amazing Caves (Large Format),4,"63633,91014,91015"
39,3,3,83104,Proof of Life,4,"67138,83102,83104"
49,3,3,83642,Hollywood at Your Feet - The Story of the Chinese Theatre Footprints,4,"83639,83640,83642"
50,3,3,83872,Metrosexuality,4,"83870,83871,83872"
51,3,3,84395,Grateful Dead - View from the Vault III,4,"84393,84394,84395"
54,3,3,89494,Yu Yu Hakusho - Dark Tournament (Uncut),4,"89493,89494,89495"
65,3,3,108099,Death of a Prophet,4,"108097,108098,108099"
72,3,3,114153,Heaven,3,"114153,114155,114156"
75,3,3,116476,Sinderella and the Golden Bra / Goldilocks and the Three Bares (Something Weird),4,"116473,116475,116476"
86,3,3,135689,Deepak Chopra-The Essential DVD Collection,4,"135687,135688,135689"
88,3,3,150642,No Code of Conduct,4,"141183,150641,150642"
90,3,3,163838,Iron Maiden - Rock in Rio,4,"146661,163838,163839"
93,3,3,151877,Ossessione,4,"151875,151876,151877"
94,3,3,156752,The Girl with the Hungry Eyes,4,"152128,156752,159777"
98,3,3,182994,The Legend of Lobo,3,"121377,160025,182994"
102,3,3,171944,Elie Wiesel Goes Home,3,"82777,166709,171944"
107,3,3,196673,Walkabout - Criterion Collection,4,"171339,179925,196673"
108,3,3,171956,Quiet Days in Clichy,4,"171954,171956,195268"
110,3,3,174121,The Big Heat,4,"174119,174120,174121"
114,3,3,185257,The Lucio Fulci Collection Volume 1 (The House By the Cemetery/The Beyond),4,"185257,185258,185259"
116,3,3,186892,Emmanuelle in Space - Collection,4,"186890,186891,186892"
117,3,3,191032,Darkside Blues,4,"191031,191032,224456"
122,3,3,230202,The Shadow Riders,4,"208603,230201,230202"
124,3,3,226058,Homework,4,"212835,226058,234070"
131,3,3,218640,"Fatboy Slim: Live on Brighton Beach - Big Beach Boutique, Vol. 2",4,"215780,218639,218640"
132,3,3,216254,Pippin,4,"216252,216253,216254"
134,3,3,224714,"Go, Go Second Time Virgin",4,"224714,224716,224718"
136,3,3,226736,Anzio,4,"226734,226735,226736"
139,3,3,240539,Backstage Pass - DVD Concert Collection Vol. 01,4,"233209,240539,242267"
145,3,3,240077,Dr. Quinn Medicine Woman - The Complete Season One,4,"240075,240076,240077"
148,3,3,245999,TV Guide Looks at Science Fiction,4,"242324,245998,245999"
153,3,3,252228,Tighter Assets with Tamilee: Weight Loss,3,"146479,252209,252228"
158,3,3,260145,The Mean Season,4,"260143,260144,260145"
128,3,3,261604,"Where Have You Gone, Joe DiMaggio?",4,"261600,261603,261604"
3,3,2,4740,Fluke/Napoleon,4,"4740,4741,9804"
5,3,2,8334,The Wiggles - Hoop-Dee-Doo! It's a Wiggly Party,4,"8333,8334,8336"
15,3,2,22154,Jungle Book,4,"18234,22153,22154"
16,3,2,18905,I'm All Right Jack,3,"18237,18903,18905"
18,3,2,33416,In a Class of His Own,3,"5357,20172,33416"
33,3,2,56839,Heart of Dixie,4,"56837,56838,56839"
37,3,2,64722,Dragon Ball Z:Perfect Cell-Perfection,3,"60126,64722,64723"
46,3,2,82596,Maetel Legend/Harlock Saga,4,"82596,82597,82599"
55,3,2,91026,National Parks of Alaska,4,"91024,91025,91026"
60,3,2,100428,WWE Summerslam 2001,4,"100426,100427,100428"
67,3,2,109209,The Mystery of Picasso,4,"109209,109210,109211"
79,3,2,130953,Buying the Cow/Love Stinks,4,"123271,130952,130953"
80,3,2,132752,Gung Ho!,4,"132749,132750,132752"
84,3,2,134396,American Buffalo,4,"134395,134396,134397"
97,3,2,158150,Playboy TV - Night Calls 411,4,"158147,158149,158150"
101,3,2,164932,"Gappa, the Triphibian Monster",4,"164928,164930,164932"
111,3,2,187215,Kids From Shaolin/Deadend of B,4,"177369,187214,187215"
120,3,2,199100,American Gigolo,4,"199097,199099,199100"
121,3,2,208397,The Star Wagon (Broadway Theatre Archive),4,"208393,208395,208397"
133,3,2,217588,Thomas the Tank Engine - Best of Thomas,4,"217585,217587,217588"
135,3,2,224943,Keeping Up Appearances:Hints from Hyacinth,4,"224942,224943,231169"
140,3,2,235337,Lone Ranger,4,"235334,235335,235337"
142,3,2,238142,Dunston Checks In,4,"238140,238141,238142"
143,3,2,239443,Best Picture Collection - Musicals (An American in Paris/Gigi/My Fair Lady),3,"178871,238580,239443"
149,3,2,243595,Alice in Wonderland,4,"243592,243593,243595"
155,3,2,253129,Agatha Christie's Why Didn't They Ask Evans?,4,"252239,252240,253129"
63,3,2,261873,Upstairs Downstairs - The Complete Fifth Season,4,"261871,261872,261873"
14,3,1,12648,Transformers Volume 1 Season 1,4,"12646,12647,12648"
44,3,1,80644,Mommy & Me - Fun & Friends,4,"80642,80643,80644"
78,3,1,120424,WWE Vengeance 2001 - One Undisputed Champion,4,"120424,120425,120426"
83,3,1,134385,Dream a Dream: Charlotte Church in the Holy Land,4,"134383,134384,134385"
0,2,2,1640,I Love Lucy - Season One (Vol. 3),2,"1627,1640"
1,2,2,1632,Dragon Ball Z - Babidi - Battle Royal,2,"1631,1632"
4,2,2,8201,Eminem - All Access Europe,2,"8200,8201"
6,2,2,9256,Kelly Clarkson - Before Your Love/A Moment Like This (DVD Single),2,"9253,9256"
10,2,2,176,"Avengers '67 - Set 1, Vols. 1 & 2",1,"176,12064"
17,2,2,28776,Last House on Dead End Street,2,"18966,28776"
23,2,2,28010,Fascination,2,"24804,28010"
24,2,2,33211,Drift,2,"33209,33211"
28,2,2,67530,Terry Pratchett's Discworld - Soul Music,2,"44837,67530"
29,2,2,79765,10 Violent Women,2,"47753,79765"
32,2,2,6459,Barney's Rhyme Time Rhythm,1,"6459,52053"
34,2,2,59891,Clue,2,"57656,59891"
36,2,2,59459,One Flew Over the Cuckoo's Nest (Two-Disc Special Edition),2,"59459,122645"
40,2,2,67534,Return to Waterloo/Come Dancing,2,"67533,67534"
41,2,2,69498,Gladiator Challenge: Showdown At Soboda,1,"57140,69498"
42,2,2,76200,Shriek of the Mutilated,2,"76200,105975"
43,2,2,79573,The Thin Red Line - DTS,2,"79572,79573"
53,2,2,87455,The Tormented/Lady Frankenstein,2,"87453,87455"
59,2,2,99681,Firm Parts Upper Body/Standing Legs,2,"99681,107655"
62,2,2,145232,No Dessert Dad 'Til You Mow The Lawn,2,"106095,145232"
64,2,2,106670,Playboy - Red Hot Redheads,2,"106666,106670"
68,2,2,109214,Xena - Series Finale,2,"109213,109214"
71,2,2,142854,Throw Momma from the Train,2,"113710,142854"
82,2,2,133801,Dead Reckoning,2,"133800,133801"
87,2,2,90049,Charlotte's Web 2 - Wilbur's Great Adventure,1,"90049,139066"
89,2,2,144901,Dragon Ball Z - Imperfect Cell - Discovery,1,"144899,144901"
92,2,2,151461,Go for Broke!,2,"151460,151461"
95,2,2,154070,Tower of Song - An Epic Story of Canada and Its Music,2,"154069,154070"
96,2,2,180401,Trail of a Serial Killer,2,"155316,180401"
99,2,2,192777,The Method Pilates - Precision Toning and Sculpting,2,"161919,192777"
100,2,2,164059,American Pie (Widescreen Unrated Ultimate Edition),2,"164058,164059"
103,2,2,167539,Four of the Apocalypse,2,"167538,167539"
105,2,2,170215,"The Hills Have Eyes, Part 2",2,"170213,170215"
112,2,2,177377,Startup.com,2,"177376,177377"
118,2,2,196682,Medabots - The Face of Dr. Meta-Evil (Vol. 6),2,"196681,196682"
123,2,2,210922,Beach Blanket Bingo,2,"210921,210922"
126,2,2,225861,Convict 762,2,"213947,225861"
129,2,2,218402,Die Hard - The Ultimate Collection,2,"215427,218402"
141,2,2,86193,Day of the Triffids,1,"86193,238099"
156,2,2,253143,Eastwood After Hours (Live at Carnegie Hall),2,"253141,253143"
159,2,2,260972,Bloody Vampire,2,"260910,260972"
160,2,2,260967,Samson in the Wax Museum,2,"260966,260967"
150,2,2,261653,Surviving Desire,2,"261649,261653"
21,2,1,22276,Family Plot,2,"22274,22276"
22,2,1,26026,The End of the Affair,2,"24457,26026"
27,2,1,38978,"The Honeymooners - The Lost Episodes, Vol. 6",2,"38977,38978"
48,2,1,94252,Love on a Diet,2,"83105,94252"
115,2,1,186851,Sesame Street - Kids' Favorite Songs,2,"186850,186851"
119,2,1,199074,Atlantis - The Lost Empire (Disney Collector's Edition),2,"199072,199074"
138,2,1,227438,Grand Slam,2,"227437,227438"
